Datetime,Close,High,Low,Open,Volume
,ETH-USD,ETH-USD,ETH-USD,ETH-USD,ETH-USD
2025-09-27 00:00:00+00:00,4027.92578125,4035.463134765625,4021.14501953125,4035.463134765625,0
2025-09-27 01:00:00+00:00,4019.44873046875,4029.527587890625,4012.054443359375,4029.38818359375,0
2025-09-27 02:00:00+00:00,4013.83154296875,4024.193359375,4013.614501953125,4020.543212890625,0
2025-09-27 03:00:00+00:00,4021.590087890625,4028.6376953125,4013.346923828125,4015.02685546875,0
2025-09-27 04:00:00+00:00,4024.107421875,4028.302734375,4018.12939453125,4021.439697265625,292995072
2025-09-27 05:00:00+00:00,4021.61181640625,4024.1064453125,4015.796142578125,4024.1064453125,0
2025-09-27 06:00:00+00:00,4020.815673828125,4021.316650390625,4015.79931640625,4019.3486328125,0
2025-09-27 07:00:00+00:00,4010.364990234375,4023.077880859375,4009.48291015625,4021.918701171875,0
2025-09-27 08:00:00+00:00,3987.28076171875,4008.95947265625,3987.28076171875,4008.95947265625,263438336
2025-09-27 09:00:00+00:00,3997.060791015625,3998.47998046875,3977.171875,3987.356689453125,0
2025-09-27 10:00:00+00:00,4010.83056640625,4017.510498046875,3991.827880859375,3996.95458984375,0
2025-09-27 11:00:00+00:00,4003.734375,4013.57568359375,4003.4150390625,4010.786376953125,0
2025-09-27 12:00:00+00:00,4035.6650390625,4037.63671875,3996.9609375,4003.36962890625,0
2025-09-27 13:00:00+00:00,4021.972900390625,4031.037353515625,4019.443603515625,4031.037353515625,0
2025-09-27 14:00:00+00:00,4016.152099609375,4026.997802734375,4013.03662109375,4021.664306640625,0
2025-09-27 15:00:00+00:00,4022.068115234375,4022.068115234375,4003.54443359375,4016.65380859375,0
2025-09-27 16:00:00+00:00,4008.371826171875,4019.9453125,4007.994873046875,4019.9453125,0
2025-09-27 17:00:00+00:00,4001.668701171875,4009.15478515625,3987.088134765625,4009.15478515625,0
