Datetime,Close,High,Low,Open,Volume
,BTC-USD,BTC-USD,BTC-USD,BTC-USD,BTC-USD
2025-09-27 00:00:00+00:00,109644.4765625,109703.78125,109546.03125,109702.3671875,0
2025-09-27 01:00:00+00:00,109475.515625,109703.34375,109418.6953125,109691.515625,0
2025-09-27 02:00:00+00:00,109468.6484375,109529.1171875,109399.9765625,109499.6328125,0
2025-09-27 03:00:00+00:00,109595.734375,109772.25,109479.5546875,109479.5546875,0
2025-09-27 04:00:00+00:00,109707.859375,109758.765625,109595.3125,109597.8203125,633298944
2025-09-27 05:00:00+00:00,109690.2265625,109731.0859375,109659.5859375,109709.3125,0
2025-09-27 06:00:00+00:00,109595.2578125,109675.4453125,109563.7578125,109658.1875,0
2025-09-27 07:00:00+00:00,109453.53125,109625.1640625,109393.5625,109599.28125,0
2025-09-27 08:00:00+00:00,109328.6875,109444.7265625,109316.0234375,109444.7265625,0
2025-09-27 09:00:00+00:00,109358.0546875,109391.921875,109160.3515625,109325.609375,0
2025-09-27 10:00:00+00:00,109477.4765625,109504.015625,109322.7890625,109355.65625,0
2025-09-27 11:00:00+00:00,109351.46875,109486.046875,109331.9921875,109479.359375,0
2025-09-27 12:00:00+00:00,109491.625,109491.625,109289.09375,109348.203125,0
2025-09-27 13:00:00+00:00,109380.9609375,109452.640625,109379.6171875,109427.171875,0
2025-09-27 14:00:00+00:00,109331.796875,109422.734375,109314.875,109372.265625,0
2025-09-27 15:00:00+00:00,109434.171875,109462.671875,109266.921875,109344.390625,0
2025-09-27 16:00:00+00:00,109427.1796875,109467.2578125,109375.6640625,109435.515625,0
2025-09-27 17:00:00+00:00,109415.4609375,109423.7109375,109306.4375,109416.078125,0
2025-09-27 18:00:00+00:00,109476.515625,109476.515625,109404.171875,109425.1171875,0
2025-09-27 19:00:00+00:00,109464.71875,109476.5859375,109421.3046875,109473.625,0
2025-09-27 20:00:00+00:00,109437.5078125,109473.2734375,109407.6796875,109470.015625,0
2025-09-27 21:00:00+00:00,109492.390625,109518.453125,109427.4375,109440.53125,0
2025-09-27 22:00:00+00:00,109649.1875,109752.171875,109495.9375,109495.9375,0
2025-09-27 23:00:00+00:00,109663.03125,109724.53125,109510.5703125,109643.1015625,0
2025-09-28 00:00:00+00:00,109647.3125,109811.4921875,109611.7890625,109687.5703125,0
2025-09-28 01:00:00+00:00,109411.453125,109688.4921875,109408.75,109661.9375,0
2025-09-28 02:00:00+00:00,109492.578125,109563.828125,109406.2109375,109417.7578125,0
2025-09-28 03:00:00+00:00,109487.4765625,109554.8125,109468.5,109489.7890625,332564480
2025-09-28 04:00:00+00:00,109421.5859375,109507.7734375,109407.9453125,109484.078125,0
2025-09-28 05:00:00+00:00,109401.234375,109456.5234375,109385.8046875,109427.8203125,0
2025-09-28 06:00:00+00:00,109439.953125,109460.21875,109325.9296875,109398.78125,0
2025-09-28 07:00:00+00:00,109539.3828125,109575.4765625,109404.40625,109446.8984375,0
2025-09-28 08:00:00+00:00,109563.2734375,109599.5546875,109499.71875,109529.5625,0
2025-09-28 09:00:00+00:00,109549.2109375,109599.734375,109397.765625,109558.875,0
2025-09-28 10:00:00+00:00,109400.2734375,109552.2109375,109397.203125,109552.2109375,0
2025-09-28 11:00:00+00:00,109434.8125,109434.8125,109298.015625,109400.7421875,1138212864
2025-09-28 12:00:00+00:00,109365.7421875,109471.78125,109240.3125,109418.65625,0
2025-09-28 13:00:00+00:00,109671.0234375,109687.21875,109341.203125,109341.203125,0
2025-09-28 14:00:00+00:00,109876.0703125,109876.0703125,109565.421875,109659.5,880443392
2025-09-28 15:00:00+00:00,110062.9609375,110062.9609375,109758.203125,109880.734375,1285713920
2025-09-28 16:00:00+00:00,110223.2109375,110392.28125,110035.0546875,110064.65625,291328000
2025-09-28 17:00:00+00:00,110252.1015625,110379.0703125,110188.8203125,110242.796875,1427929088
2025-09-28 18:00:00+00:00,110293.828125,110293.828125,110111.1796875,110235.0546875,178468864
2025-09-28 19:00:00+00:00,110351.71875,110393.2109375,110146.8046875,110301.8984375,99454976
2025-09-28 20:00:00+00:00,110843.125,110974.6171875,110338.28125,110366.7578125,625975296
2025-09-28 21:00:00+00:00,110774.453125,110907.671875,110670.2578125,110835.0703125,1332209664
2025-09-28 22:00:00+00:00,111936.53125,112013.0546875,110958.984375,110958.984375,347123712
2025-09-28 23:00:00+00:00,112116.046875,112364.7890625,111952.4921875,111952.4921875,4481271808
2025-09-29 00:00:00+00:00,112276.5625,112325.0234375,112045.8984375,112201.1640625,317351936
2025-09-29 01:00:00+00:00,111834.0078125,112345.6953125,111783.0625,112284.9609375,934244352
2025-09-29 02:00:00+00:00,111779.390625,111987.15625,111670.484375,111884.4375,2288091136
2025-09-29 03:00:00+00:00,111856.875,111882.6015625,111634.0859375,111775.0,0
2025-09-29 04:00:00+00:00,111867.125,111927.453125,111799.546875,111906.2578125,1571815424
2025-09-29 05:00:00+00:00,111781.5703125,111857.734375,111605.8359375,111857.734375,986763264
2025-09-29 06:00:00+00:00,111687.28125,111857.3203125,111674.0234375,111789.5859375,0
2025-09-29 07:00:00+00:00,111868.6953125,111870.6640625,111608.578125,111681.8828125,2142060544
2025-09-29 08:00:00+00:00,112147.2578125,112372.40625,111880.7578125,111880.7578125,1717313536
2025-09-29 09:00:00+00:00,112127.2265625,112204.25,112045.28125,112124.9453125,2199482368
2025-09-29 10:00:00+00:00,112168.34375,112257.7265625,112065.171875,112134.5703125,884744192
